	id	host_id	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	reviews_per_month	calculated_host_listings_count	availability_365	number_of_reviews_ltm	host_response_time	host_identity_verified	host_response_rate	host_is_superhost	nr_of_bathrooms	bedrooms	accommodates	review_scores_rating	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value
1	25659	107347	Lisboa	Santa Maria Maior	38.71241	-9.12706	4	50	2	127	1.37	1	325	14	1	1	1.0	1	1.0	1.0	3	4.81	4.88	4.97	4.97	4.88	4.82
2	29248	125768	Lisboa	Santa Maria Maior	38.71082	-9.12719	4	60	5	337	2.53	1	190	13	2	1	1.0	0	1.0	1.0	4	4.56	4.38	4.65	4.74	4.82	4.61
3	29396	126415	Lisboa	Santa Maria Maior	38.71156	-9.12987	4	60	2	299	2.57	1	302	40	1	1	1.0	1	1.0	1.0	4	4.8	4.82	4.88	4.91	4.88	4.75
4	29720	128075	Lisboa	Estrela	38.71108	-9.15979	4	957	2	64	0.48	2	248	9	3	1	0.96	0	8.0	9.0	16	4.92	4.84	4.97	4.97	4.83	4.6
5	29915	128890	Lisboa	Avenidas Novas	38.74571	-9.15264	4	50	5	46	0.33	1	228	8	2	1	0.9	1	1.0	1.0	3	4.68	4.88	4.79	4.74	4.67	4.72
8	42519	136230	Lisboa	Misericrdia	38.71062	-9.149	4	50	1	120	0.97	8	161	6	1	1	1.0	0	1.0	1.0	2	4.44	4.62	4.61	4.48	4.75	4.5
9	48025	218778	Lisboa	Misericrdia	38.71195	-9.14463	4	65	5	18	0.14	6	261	0	2	1	1.0	1	1.5	1.0	2	4.24	4.35	4.71	4.76	4.59	4.12
10	48058	218990	Cascais	Cascais e Estoril	38.6965	-9.42571	4	80	5	33	0.41	1	246	0	1	1	1.0	0	1.0	1.0	4	4.94	4.69	4.91	4.91	4.97	4.88
13	50108	229376	Lisboa	Estrela	38.70388	-9.16546	4	75	2	37	0.3	2	0	0	1	1	0.71	0	2.0	1.0	4	4.52	4.43	4.62	4.7	4.52	4.55
15	56906	270457	Lisboa	So Vicente	38.71851	-9.12439	4	47	3	150	1.13	7	345	7	1	1	1.0	0	1.0	1.0	2	4.62	4.63	4.97	4.97	4.49	4.55
